id,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,chrt,sex,stage,nest.site.origin,cma.bin,translocated,captive,wild,SFdist,SFcat,SF_2km,SF_3km,Fcoeff,subpop,BFDV,BFDVtest,Dam_age
10265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,MKA,1,no,no,yes,0.143739904,1,1,1,0.015625,GG,1,1,9
10270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,MKA,1,no,no,yes,0.143739904,1,1,1,0.015625,GG,1,1,9
10275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,MKA,1,no,no,yes,0.143739904,1,1,1,0.015625,GG,1,1,9
10280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,PB,0,0,0,0,0,0,0,2013,Female,juvenile,MAR,0,no,no,yes,0.289798453,1,1,1,0.03125,GG,0,0,12
10285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,PB,0,0,0,0,0,0,0,2013,Male,juvenile,MAR,0,no,no,yes,0.289798453,1,1,1,0.03125,GG,0,0,12
10290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,MAR,0,no,no,yes,0.289798453,1,1,1,0.03125,GG,0,0,12
10295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,PB,0,0,0,0,0,0,2013,Female,juvenile,MTO,0,no,no,yes,1.038091464,1,1,1,0.015625,BO,1,1,4
1030,0,PB,0,0,0,PB,PB,PB,0,PB,PB,0,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Male,juvenile,HIP,0,no,no,yes,3.747977041,3,0,0,NA,BO,NA,NA,NA
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,PB,0,0,0,0,0,0,2013,Male,juvenile,MTO,0,no,no,yes,1.038091464,1,1,1,0.015625,BO,0,0,4
10325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,PB,0,0,0,0,0,0,0,2013,Male,juvenile,MID,0,no,no,yes,3.747665382,3,0,0,0.125,BO,1,1,4
10330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,MID,0,no,no,yes,3.747665382,3,0,0,0.125,BO,1,1,4
10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,MNT,1,no,no,yes,0.349071666,1,1,1,0,GG,NA,NA,9
10340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,MNT,1,no,no,yes,0.349071666,1,1,1,0,GG,0,0,9
10345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,MOL,0,no,no,yes,1.841449966,1,1,1,0.0625,BO,0,0,10
10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,MOL,0,no,no,yes,1.841449966,1,1,1,0.0625,BO,1,1,10
10355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,B,0,0,2013,Female,juvenile,MOR,0,no,no,yes,0.108558256,1,1,1,0.015625,GG,0,0,9
10360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,PB,0,0,0,PB,0,0,0,0,2013,Female,juvenile,MOR,0,no,no,yes,0.108558256,1,1,1,0.015625,GG,0,0,9
10370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,MOS,0,no,no,yes,1.327013703,1,1,1,0,BO,0,0,11
